rank,feature,gain,split_count
1,sub_code,587449280.1618652,12976
2,horizon,265230093.9074707,5653
3,sub_category,102450934.52929688,2121
4,feature_al,43221932.42163086,1834
5,feature_cf,18361795.18383789,232
6,feature_a,16486657.728515625,677
7,code,14966909.755371094,163
8,feature_as,14862866.560058594,280
9,feature_ai,14558828.498291016,349
10,feature_cg,13951577.786621094,307
11,feature_aq,13746903.643798828,341
12,feature_u,12793782.77758789,122
13,feature_bp_lag_1,12164534.613769531,72
14,feature_ar,9649085.025390625,215
15,feature_am,9326087.7734375,118
16,feature_ao_lag_1,9035792.896972656,50
17,feature_ao,8035611.2900390625,80
18,feature_v,7713876.966064453,173
19,feature_v_rolling_mean_7,7278586.294189453,129
20,feature_v_lag_28,7186818.470214844,225
21,feature_i,7118507.9658203125,125
22,feature_cf_lag_14,6977909.507568359,102
23,feature_cb,6947236.250244141,188
24,feature_ai_lag_1,6810147.040527344,143
25,feature_m_lag_21,6388373.539550781,114
26,feature_al_rolling_mean_7,6058834.188720703,325
27,feature_by,5950044.118896484,184
28,feature_cg_rolling_mean_7,5904525.4169921875,150
29,feature_cg_lag_1,5802209.241455078,129
30,feature_bg_lag_28,5750793.016845703,158
31,feature_v_rolling_mean_3,5734270.705078125,104
32,feature_m_lag_28,5706761.290771484,107
33,feature_v_lag_1,5589312.634765625,125
34,feature_aq_lag_1,5330791.379150391,161
35,feature_bp_lag_28,5239680.719482422,46
36,feature_v_lag_5,5042438.2802734375,109
37,feature_bg_lag_21,4978792.8701171875,133
38,feature_as_lag_1,4911561.972167969,113
39,feature_an_rolling_mean_7,4860645.470458984,23
40,feature_cf_lag_1,4796973.413330078,101
41,feature_ar_lag_1,4387454.6650390625,108
42,feature_am_lag_1,4330760.418701172,87
43,feature_as_rolling_mean_3,4166822.333984375,85
44,feature_ca,3996387.1049804688,95
45,feature_am_lag_5,3966567.1015625,65
46,feature_l_lag_28,3895619.6840820312,93
47,feature_aq_lag_14,3859307.1645507812,121
48,feature_bp,3853165.3515625,52
49,feature_ce,3807020.9594726562,162
50,feature_am_lag_14,3630546.2001953125,70
51,feature_m_rolling_mean_7,3627979.71484375,56
52,feature_cf_rolling_mean_3,3555583.1508789062,68
53,feature_aq_rolling_mean_3,3553628.149169922,83
54,feature_i_lag_28,3532079.326171875,95
55,feature_v_lag_21,3530279.7829589844,120
56,feature_am_rolling_mean_7,3527147.3159179688,55
57,feature_as_rolling_mean_7,3503801.8051757812,95
58,feature_cg_lag_28,3487587.1166992188,154
59,feature_cg_rolling_mean_3,3478676.6948242188,91
60,feature_cf_lag_3,3451367.7426757812,83
61,feature_bz,3445891.6110839844,101
62,feature_cg_lag_21,3434248.376953125,111
63,feature_cd,3416622.51171875,123
64,feature_m,3335158.03515625,86
65,feature_bz_lag_28,3265618.1162109375,74
66,feature_ai_rolling_mean_3,3246950.8740234375,84
67,feature_m_lag_14,3231030.2060546875,73
68,feature_ce_lag_28,3170198.5458984375,140
69,feature_h_rolling_std_7,3091200.2822265625,148
70,feature_ce_lag_21,3087875.3947753906,141
71,feature_by_rolling_mean_7,3027395.1811523438,75
72,feature_as_lag_3,3011098.6188964844,78
73,feature_bp_lag_21,2958608.7280273438,46
74,feature_v_lag_14,2935050.9897460938,100
75,feature_i_lag_1,2892017.2866210938,66
76,feature_cg_lag_3,2831127.9575195312,81
77,feature_cd_lag_1,2824162.4438476562,94
78,feature_bg,2805322.6333007812,100
79,feature_am_lag_3,2770987.27734375,53
80,feature_cf_rolling_mean_7,2726881.202392578,66
81,feature_aj,2721243.4985351562,110
82,feature_cb_lag_28,2664500.6623535156,85
83,feature_ai_lag_14,2660779.2939453125,79
84,feature_bp_rolling_mean_3,2647824.579345703,29
85,feature_aq_rolling_mean_7,2641423.007080078,74
86,feature_m_lag_1,2629952.7875976562,56
87,feature_z_lag_28,2622890.4338378906,101
88,feature_l_lag_21,2621115.451171875,74
89,feature_l,2542764.525390625,67
90,feature_by_lag_28,2506908.8891601562,91
